key;pl;en;es;fr;de;ro
TrKey.LoadingBook;Wczytywanie ksiazki;Loading book;Cargando libro;Chargement du livre;Buch laden;Se incarca cartea
TrKey.PreparingSD;Przygotowuje SD;Preparing SD;Preparando SD;Preparation SD;SD vorbereiten;Pregatire SD
TrKey.EjectWhenDone;Wysun po skonczeniu;Eject when done;Expulsar al terminar;Ejecter une fois fini;Auswerfen wenn fertig;Scoate cand e gata
TrKey.LowBattery;NISKA BATERIA;LOW BATTERY;BATERIA BAJA;BATTERIE FAIBLE;AKKU SCHWACH;BATERIE SLABA
TrKey.PoweringOff;Wylaczam;Powering off;Apagando;Extinction;Ausschalten;Se opreste
TrKey.ChargeSoon; naladuj wkrotce; charge soon; cargue pronto; rechargez bientot; bald laden; incarcati curand
TrKey.Remaining;% zostalo;% remaining;% restante;% restant;% verbleibend;% ramas
TrKey.Connectivity;Polaczenia;Connectivity;Conectividad;Connectivite;Verbindungen;Conectivitate
TrKey.AboutHelp;Informacje;About / Help;Informacion;Informations;Info / Hilfe;Informatii
TrKey.WifiAdvanced;Wi-Fi (zaaw.);Wi-Fi (advanced);Wi-Fi (avanzado);Wi-Fi (avance);Wi-Fi (erweitert);Wi-Fi (avansat)
TrKey.PhoneSync;Sync z tel.: ;Phone sync: ;Sync movil: ;Sync tel.: ;Handy-Sync: ;Sync telefon: 
TrKey.TurnOnToSeeWifi;    (wlacz aby zobaczyc kod Wi-Fi);    (turn on to see Wi-Fi code);    (active para ver codigo Wi-Fi);    (activer pour voir code Wi-Fi);    (einschalten fuer Wi-Fi-Code);    (porniti pt. cod Wi-Fi)
TrKey.HomeWifi;Wi-Fi domowe: ;Home Wi-Fi: ;Wi-Fi hogar: ;Wi-Fi maison: ;Heim-Wi-Fi: ;Wi-Fi acasa: 
TrKey.NotSet;Brak;Not set;Sin config.;Non defini;Nicht gesetzt;Nesetat
TrKey.Connected;POLACZONY;CONNECTED;CONECTADO;CONNECTE;VERBUNDEN;CONECTAT
TrKey.Version;Wersja: ;Version: ;Version: ;Version : ;Version: ;Versiune: 
TrKey.BrandLabel;Marka: Flower (Czytnik01);Brand: Flower (Czytnik01);Marca: Flower (Czytnik01);Marque: Flower (Czytnik01);Marke: Flower (Czytnik01);Marca: Flower (Czytnik01)
TrKey.PhoneAppLabel;Aplikacja: grkarol.github.io/czytnik01/app;Phone app: grkarol.github.io/czytnik01/app;App movil: grkarol.github.io/czytnik01/app;App tel.: grkarol.github.io/czytnik01/app;Handy-App: grkarol.github.io/czytnik01/app;Aplicatie: grkarol.github.io/czytnik01/app
TrKey.DevModeOn;Tryb dev: WL (wylacz);Developer mode: ON (turn off);Modo dev: ON (desactivar);Mode dev: ON (desactiver);Dev-Modus: AN (ausschalten);Mod dev: ON (dezactiveaza)
TrKey.ReaderHand;Dlon: ;Reader hand: ;Mano: ;Main: ;Hand: ;Mana: 
TrKey.FooterLabel;Stopka: ;Footer label: ;Pie: ;Pied: ;Fusszeile: ;Subsol: 
TrKey.BatteryLabel;Bateria: ;Battery label: ;Bateria: ;Batterie: ;Akku: ;Baterie: 
TrKey.Screensaver;Wygaszacz: ;Screensaver: ;Salvapant.: ;Ecran veille: ;Bildschirmsch.: ;Screensaver: 
